customer_id,compras,gasto_total,visitas,price_mean,price_max,antiguedad_dias,edad_anios,views_per_day,buys_per_100d,view_to_buy,log_visitas,log_compras,log_gasto_total,log_price_mean,log_price_max,gen_female,gen_male,gen_unk,cat_blouse,cat_dress,cat_jacket,cat_jeans,cat_shirt,cat_shoes,cat_skirt,cat_slacks,cat_suit,cat_t-shirt,dev_desktop,dev_mobile,color_blue,color_green,color_orange,color_purple,color_red,color_white,color_yellow,adj_luxury,adj_deluxe,adj_exclusive,adj_elegant,adj_casual,adj_modern,adj_classic,adj_stylish,adj_durable,adj_lightweight,adj_premium,adj_sport,adj_comfort,adj_trend
CUST_0001,24,29321.02,116,1221.7091666666668,1490.65,541,29.481177275838466,0.2144177449168207,3.7441497659906395,4.64,4.762173934797756,3.2188758248682006,10.28609404857969,7.108824304191369,7.307638168794068,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0002,13,16374.53,69,1259.579230769231,1490.65,783,24.772073921971252,0.08812260536398467,1.4722536806342015,4.928571428571429,4.248495242049359,2.6390573296152584,9.703543426391885,7.139326601272359,7.307638168794068,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0003,10,13133.45,41,1313.345,1489.03,580,26.321697467488022,0.0706896551724138,1.4705882352941178,3.727272727272727,3.7376696182833684,2.3978952727983707,9.482993828384174,7.181093721660104,7.306551532965002,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0004,15,19379.84,72,1291.9893333333334,1490.05,286,24.1533196440794,0.2517482517482518,3.8860103626943006,4.5,4.290459441148391,2.772588722239781,9.8720402281587,7.1647121291889775,7.307235848743045,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0005,15,17594.88,89,1172.992,1433.47,494,23.98631074606434,0.18016194331983806,2.525252525252525,5.5625,4.499809670330265,2.772588722239781,9.775420062713598,7.068165186054773,7.268550721992558,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0006,19,23222.989999999998,109,1222.2626315789473,1487.42,266,28.164271047227928,0.40977443609022557,5.191256830601093,5.45,4.700480365792417,2.995732273553991,10.052941075115328,7.109276856360714,7.30547043363024,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0007,18,22719.7,93,1262.2055555555555,1489.26,675,20.681724845995895,0.13777777777777778,2.3225806451612905,4.894736842105263,4.543294782270004,2.9444389791664403,10.031031682219629,7.14140786093331,7.306705880361031,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0008,10,13156.91,53,1315.691,1486.39,595,22.83915126625599,0.08907563025210084,1.4388489208633093,4.818181818181818,3.9889840465642745,2.3978952727983707,9.48477837767727,7.182877050068944,7.3047781851055475,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0009,7,8408.12,35,1201.16,1490.05,926,22.43668720054757,0.03779697624190065,0.682261208576998,4.375,3.58351893845611,2.0794415416798357,9.037072110155622,7.0918752177174715,7.307235848743045,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST_0010,18,23407.91,84,1300.4394444444445,1490.65,344,28.53388090349076,0.2441860465116279,4.054054054054054,4.421052631578948,4.442651256490317,2.9444389791664403,10.060871998102355,7.17122619584119,7.307638168794068,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST_0011,17,22018.59,88,1295.2111764705883,1489.26,299,24.955509924709105,0.29431438127090304,4.260651629072681,4.888888888888889,4.48863636973214,2.8903717578961645,9.999687790666451,7.16720080844571,7.306705880361031,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
